Level,MapID,      X, Y,World,Answers,ValidWords
161,12,497,627,urban,run|bun|bra|bar|ran|ban|burn|bran|barn|urban|,rub|bur|urn|run|bun|nub|bra|bar|ran|ban|nab|burn|bran|barn|urban|
162,12,577,636,radio,air|rid|aid|ado|raid|arid|road|radio|,air|oar|rid|rod|aid|ado|raid|arid|road|radio|
163,12,596,579,dream,dear|dare|read|dram|dame|mead|made|ream|mare|dream|,dear|dare|read|dram|dame|mead|made|ream|mare|dream|armed|
164,12,695,537,pound,pod|pun|pond|pound|,pod|pun|nod|don|dun|upon|pond|undo|pound|
165,11,250,756,cause,sac|cue|sec|sea|use|sue|case|cause|sauce|,sac|cue|sec|sea|use|sue|case|aces|cues|cause|sauce|
166,11,176,743,brand,bar|ban|bad|ran|and|bran|barn|bard|drab|band|rand|brand|,bra|bar|ban|nab|bad|dab|ran|and|bran|barn|bard|drab|band|rand|darn|brand|
167,11,112,770,entry,net|ten|yet|try|tern|rent|entry|,net|ten|yen|yet|rye|try|tern|rent|entry|
168,11,107,861,album,lab|lam|bum|lamb|balm|maul|album|,lab|lam|bum|lamb|balm|maul|album|
169,11,204,914,cable,cab|ale|lea|lace|able|bale|cable|,cab|lab|ale|lea|lace|able|bale|cable|
170,11,268,888,flash,ash|has|half|lash|flash|,ash|has|half|lash|flash|
171,11,274,818,super,spur|sure|user|ruse|pure|super|purse|,spur|sure|user|ruse|rues|reps|pure|super|purse|
172,11,348,655,award,war|raw|wad|ward|draw|award|,war|raw|wad|ward|draw|award|
173,11,356,552,input,nip|pin|nit|tin|pit|tip|nut|put|pint|unit|punt|input|,nip|pin|int|nit|tin|pit|tip|pun|nut|put|pint|unit|punt|input|
174,11,457,461,metal,meta|meat|mate|team|melt|meal|male|lame|malt|tale|late|metal|,meta|meat|mate|team|tame|melt|meal|male|lame|malt|teal|tale|late|metal|
175,11,491,352,people,pole|lope|peep|peel|plop|elope|people|,pope|pole|lope|peep|peel|plop|elope|people|
176,11,545,544,should,shod|lush|soul|sold|hold|loud|should|,shod|hods|lush|soul|duos|sold|hold|loud|holds|should|
177,11,576,644,become,comb|come|become|,comb|come|become|
178,11,630,717,really,real|year|rely|yell|ally|relay|early|layer|rally|really|,real|earl|year|rely|lyre|yell|ally|relay|early|layer|rally|alley|really|
179,11,541,816,family,fail|flay|film|mail|filmy|family|,fail|flay|film|mail|filmy|family|
180,12,359,882,number,numb|menu|burn|rune|rube|number|,numb|menu|burn|rune|rube|berm|umber|number|
181,12,265,852,happen,heap|pane|nape|neap|happen|,heap|pane|nape|neap|happen|
182,12,160,885,before,beef|bore|robe|beer|fore|free|reef|before|,beef|bore|robe|beer|fore|free|reef|before|
183,12,51,683,mother,tome|home|more|them|term|tore|rote|hero|metro|therm|other|mother|,moth|mote|tome|home|more|them|term|tore|rote|hero|metro|therm|other|mother|
184,12,136,554,little,tilt|till|tile|tell|title|little|,tilt|lilt|till|lite|tile|tell|title|little|
185,12,249,599,friend,infer|fried|fired|fiend|fined|diner|friend|finder|,finer|infer|fried|fired|fiend|fined|diner|friend|finder|
186,12,301,653,father,fate|feat|fare|fear|hate|heat|tear|rate|hear|after|hater|heart|earth|father|,fate|feat|feta|fart|frat|raft|fare|fear|heft|fret|hate|heat|hart|tare|tear|rate|hare|hear|after|hater|heart|earth|father|
187,12,301,537,member,berm|mere|beer|ember|member|,berm|mere|beer|ember|member|
188,12,289,457,change,ache|each|cane|cage|hang|change|,ache|each|cane|acne|cage|hang|change|
189,12,327,406,minute,mint|mien|mite|item|time|emit|menu|mute|unit|tune|unite|minute|,mint|mine|mien|mite|item|time|emit|menu|mute|unit|tine|tune|unmet|unite|untie|minute|minuet|
190,12,397,534,follow,fool|flow|wolf|woof|wool|follow|,fool|fowl|flow|wolf|woof|wool|follow|
191,12,451,532,create,crate|caret|cater|react|trace|eater|create|,crate|caret|carte|cater|react|trace|erect|eater|create|cetera|
192,12,497,627,health,heal|hale|heat|hate|late|tale|heath|health|,heal|hale|heat|hate|halt|lath|hath|late|teal|tale|lathe|heath|health|
193,12,577,636,within,with|whit|twin|thin|hint|within|,with|whit|twin|thin|hint|within|
194,12,596,579,moment,memo|mote|tome|note|tone|moment|,memo|omen|mote|tome|note|tone|moment|
195,12,695,537,enough,gone|hone|huge|hung|enough|,gone|hone|huge|hung|enough|
196,11,250,756,policy,ploy|copy|clip|coil|oily|cloy|policy|,clop|ploy|copy|clip|coil|oily|cloy|policy|
197,11,176,743,former,form|from|fore|more|former|reform|,form|from|fore|more|former|reform|
198,11,112,770,report,rope|pore|rote|tore|port|poet|trope|retro|report|porter|,rope|pore|pert|rote|tore|port|poet|trope|retro|report|porter|
199,11,107,861,better,beet|beer|tree|beret|better|,beet|beer|tree|beret|better|
200,11,204,914,police,pole|lope|cope|clip|pile|epic|coil|police|,clop|pole|lope|cope|clip|pile|epic|coil|lice|police|
201,11,268,888,player,paler|pearl|reply|payer|repay|layer|early|relay|player|replay|,paler|pearl|reply|payer|repay|layer|early|relay|player|parley|pearly|replay|
202,11,274,818,record,credo|cored|decor|order|record|,corer|credo|cored|decor|order|record|
203,11,348,655,ground,rung|drug|dung|dour|undo|gourd|round|ground|,rung|drug|dung|dour|undo|gourd|round|ground|
204,11,356,552,center,cent|teen|tern|rent|tree|enter|center|recent|,cent|cert|teen|tern|rent|tree|erect|enter|center|recent|
205,11,457,461,figure,frig|fire|rife|urge|grief|figure|,frig|fire|rife|urge|grief|figure|
206,11,491,352,either,tier|tire|hire|thee|tree|here|their|there|three|either|,tier|tire|rite|heir|hire|thee|tree|here|their|ether|there|three|either|
207,11,545,544,doctor,cord|trod|door|coot|root|doctor|,cord|trod|door|odor|rood|coot|root|doctor|
208,11,576,644,decide,died|deed|diced|ceded|decide|,dice|iced|cede|died|deed|diced|ceded|decide|
209,11,630,717,window,wind|down|widow|window|,wind|wino|down|widow|window|
210,11,541,816,energy,gene|genre|green|energy|,gene|genre|green|energy|
211,12,359,882,anyone,none|neon|annoy|anyone|,anon|none|neon|annoy|anyone|
212,12,265,852,author,auto|hart|rota|hurt|tour|rout|hour|author|,auto|oath|hart|rota|hoar|thou|hurt|tour|rout|hour|author|
213,12,160,885,agency,cage|acne|cane|cyan|cagey|agency|,cage|yang|acne|cane|cyan|cagey|agency|
214,12,51,683,factor,fact|frat|raft|fort|coat|cart|rota|craft|actor|factor|,fact|fart|frat|raft|afro|fort|coat|taco|cart|rota|facto|craft|croft|actor|factor|
215,12,136,554,beyond,obey|bone|bend|body|bond|deny|node|done|beyond|,obey|bone|bode|bend|bony|body|bond|deny|node|done|ebony|boned|doyen|beyond|
216,12,249,599,amount,moan|atom|moat|auto|aunt|tuna|mount|amount|,moan|atom|moat|auto|aunt|tuna|unto|mount|amount|
217,12,301,653,career,care|acre|race|rare|rear|carer|racer|career|,care|acre|race|rare|rear|carer|racer|career|
218,12,301,537,degree,edge|deer|reed|greed|degree|,edge|deer|reed|greed|degree|
219,12,289,457,region,rein|ring|grin|iron|gone|reign|goner|groin|region|ignore|,ergo|gore|goer|ogre|rein|ring|grin|iron|gone|reign|goner|groin|region|ignore|
220,12,327,406,arrive,rare|rear|rave|raver|river|arrive|,rare|rear|aver|rave|airer|raver|river|arrive|
221,12,397,534,expert,peer|pert|tree|exert|expert|,peer|pert|tree|exert|peter|expert|
222,12,451,532,weapon,wean|wane|pawn|pane|neap|nape|peon|open|nope|weapon|,wean|wane|anew|pawn|pane|neap|nape|peon|open|nope|weapon|
223,12,497,627,manage,mane|mean|amen|name|mega|game|manage|,mane|mean|amen|name|mega|game|mange|manage|
224,12,577,636,camera,came|mace|cram|care|race|mare|ream|area|cream|camera|,came|acme|mace|cram|care|acre|race|mare|ream|area|cream|camera|
225,12,596,579,weight,whet|twig|with|whit|weigh|white|eight|weight|,whet|whig|twig|with|whit|weigh|white|eight|weight|
226,12,695,537,affect,face|fate|feat|fact|facet|affect|,face|fate|feat|feta|fact|facet|affect|
227,11,250,756,writer,writ|wire|rite|tire|tier|write|trier|writer|,writ|wire|weir|rite|tire|tier|write|trier|writer|
228,11,176,743,cancer,cane|acne|care|race|near|earn|crane|cancer|,cane|acne|narc|care|acre|race|near|earn|crane|cancer|
229,11,112,770,finger,fine|fire|grin|ring|rein|feign|grief|reign|finger|fringe|,fine|frig|fire|rife|fern|grin|ring|rein|feign|finer|infer|grief|reign|finger|fringe|
230,11,107,861,garden,grade|grand|anger|range|garden|gander|danger|,grade|raged|grand|anger|range|garden|gander|ranged|danger|
231,11,204,914,notice,into|note|tone|icon|coin|once|cone|cent|nice|notice|,into|cont|note|tone|icon|coin|once|cone|econ|tine|cent|nice|cine|cite|tonic|notice|
232,11,268,888,budget,tube|debt|budge|debug|debut|budget|,tube|debt|duet|budge|debug|debut|budget|
233,11,274,818,travel,avert|alter|alert|later|valet|travel|,avert|alter|alert|later|valet|velar|travel|varlet|
234,11,348,655,option,into|onto|pint|point|option|potion|,into|onto|pint|point|piton|pinto|option|potion|
235,11,356,552,recall,race|care|real|lace|cell|call|clear|recall|cellar|caller|,race|care|acre|real|earl|lace|cell|call|clear|recall|cellar|caller|
236,11,457,461,income,icon|coin|nice|mine|mice|cone|once|come|mince|income|,icon|coin|nice|cine|omni|mine|mien|mice|cone|once|omen|come|mince|income|
237,11,491,352,attend,teat|ante|neat|date|dean|tent|tend|dent|attend|,teat|ante|neat|date|dean|tent|nett|tend|dent|attend|
238,11,545,544,battle,beat|bale|able|belt|teat|tale|late|table|battle|tablet|,beat|beta|abet|bale|able|belt|teat|tale|teal|late|bleat|table|latte|battle|tablet|
239,11,576,644,define,fend|feed|dine|need|find|fine|fiend|define|,fend|feed|dine|need|find|fine|fiend|fined|define|
240,11,630,717,normal,norm|roan|moan|loan|roam|oral|manor|moral|normal|,norm|morn|roan|moan|loan|roam|oral|loam|manor|moral|molar|normal|
241,11,541,816,handle,hand|head|heal|held|land|lane|lean|deal|lead|lend|laden|handle|,hand|head|hale|heal|held|land|dean|lane|lean|dale|deal|lead|lend|laden|handle|
242,12,359,882,return,true|rent|runt|turn|tune|tuner|rerun|return|,true|rent|tern|rune|runt|turn|tune|truer|tuner|rerun|return|turner|
243,12,265,852,survey,sure|user|ruse|very|survey|,sure|user|ruse|rues|revs|very|survey|
244,12,160,885,demand,made|mend|dean|dead|damn|mean|mane|amen|name|admen|amend|demand|,dame|mead|made|mend|dean|dead|damn|mean|mane|amen|name|admen|amend|named|demand|damned|madden|
245,12,51,683,flight,flit|lift|gift|fight|light|flight|,flit|lift|gift|gilt|hilt|filth|fight|light|flight|
246,12,136,554,emerge,mere|germ|merge|emerge|,mere|germ|merge|emerge|
247,12,249,599,belief,bile|beef|life|file|feel|flee|belief|,bile|beef|life|file|feel|flee|belie|belief|
248,12,301,653,murder,drum|rude|demur|murder|,drum|rude|rued|demur|ruder|murder|
249,12,301,537,review,ever|veer|wire|were|view|review|viewer|,ever|veer|weir|wire|ewer|were|view|review|viewer|
250,12,289,457,engage,gene|gang|engage|,gene|gage|gang|engage|
251,12,327,406,anyway,yawn|away|anyway|,yawn|away|anyway|
252,12,397,534,female,fame|flea|leaf|feel|flee|meal|male|lame|flame|female|,fame|flea|leaf|feel|flee|meal|male|lame|flame|female|
253,12,451,532,afraid,fair|arid|raid|afraid|,afar|fair|aria|arid|raid|afraid|
254,12,497,627,charge,arch|ache|each|care|race|cage|hear|rage|gear|reach|grace|charge|,char|arch|ache|each|crag|care|acre|race|cage|hare|hear|rage|gear|reach|grace|charge|
255,12,577,636,active,cave|cite|vice|evict|active|,cave|cite|vice|vitae|civet|evict|active|
256,12,596,579,extend,next|teen|tend|dent|need|extend|,next|teen|tend|dent|need|extend|
257,12,695,537,bottom,boot|tomb|boom|bottom|,boot|tomb|boom|toot|moot|motto|bottom|
